n,Loop A (ns),Loop B (ns)
420,1647627,69575
421,1609255,65290
422,1557091,63260
423,1577233,68049
424,1645939,68490
425,1629549,68705
426,1568011,64562
427,1683443,70350
428,1605438,84143
429,1627454,69939
430,1648094,81769
431,1633189,70925
432,1663062,66294
433,1711047,66772
434,1556385,66945
435,1732145,74022
436,1591594,67495
437,1607791,77452
438,1652360,75943
439,1720587,83809
440,1799268,73756
441,1703591,73964
442,1733897,74481
443,1700125,74905
444,1725196,87936
445,1751915,79221
446,1790483,80749
447,1782086,78852
448,1796580,94674
449,1716675,76741
450,1801710,79965
451,1871729,83240
452,1908032,80645
453,1789303,85422
454,1778141,81147
455,1883244,81578
456,1818726,84996
457,1836099,82356
458,1835796,82464
459,1823197,82444
460,1826972,83598
461,1925926,90842
462,1896274,88197
463,1884295,84578
464,1889201,89208
465,1906642,88367
466,1901289,92315
467,1949359,89128
468,1897449,89499
469,1900157,89828
470,1937014,89815
471,1920406,91060
472,2010372,91059
473,1937377,95967
474,1972803,91448
475,1974365,89288
476,1945225,89256
477,1871519,86630
478,1862510,89973
479,1910076,87096
480,1973576,99249
481,1949910,91400
482,1955820,91639
483,1954918,88692
484,1859841,89155
485,1905551,92312
486,1914274,89797
487,1855808,90106
488,1879153,97921
489,1887116,90839
490,1941707,94330
491,2016446,95108
492,1931351,91930
493,1997256,92288
494,1854659,92768
495,1977578,93065
496,2059594,98062
497,1982274,106897
498,2049992,94274
499,1998465,118798
500,2070874,102371
501,2058388,99038
502,2004887,103860
503,2007632,104870
504,2087823,103898
505,2097488,104117
506,2039997,101042
507,2041112,103052
508,2096190,127436
509,2091677,108356
510,2064307,115468
511,2038044,107084
512,2127599,103715
513,1944186,95906
514,2005006,109034
515,2020076,96223
516,2047938,105531
517,2045112,99669
518,2126814,124653
519,2099945,104679
520,2183005,107074
521,2133459,111108
522,2102006,107343
523,2101322,108154
524,2119586,104527
525,2017092,123179
526,2070173,105012
527,2092773,109365
528,2046763,105843
529,2031886,106360
530,2057838,110720
531,2172771,111755
532,2126276,107543
533,2032519,126395
534,2138258,108472
535,2107262,108975
536,2170001,111896
537,2083696,113815
538,2149171,110106
539,2141064,114576
540,2188950,110707
541,2150507,111165
542,2190121,115632
543,2151621,111946
544,2092613,116685
545,2229386,120398
546,2265707,117248
547,2151621,139457
548,2236468,119521
549,2263293,121713
550,2219406,119032
551,2192222,119789
552,2315482,127763
553,2209704,123904
554,2217402,122433
555,2237846,121551
556,2235973,121881
557,2191421,127130
558,2226116,122894
559,2197008,123390
560,2224133,144641
561,2382809,196821
562,2275173,146186
563,2273031,124925
564,2260986,125149
565,2267010,156968
566,2288706,124737
567,2212111,126089
568,2174650,114401
569,2191332,127513
570,2305283,131506
571,2261079,125125
572,2219396,124196
573,2277039,124673
574,2189478,127957
575,2266369,134565
576,2265857,154383
577,2223747,126552
578,2257410,131665
579,2253693,127368
580,2241930,132641
581,2212795,135872
582,2218474,128688
583,2353234,133858
584,2280114,134314
585,2257483,137575
586,2348556,163251
587,2443296,135657
588,2404421,136624
589,2420348,158716
590,2432197,142647
591,2430357,143016
592,2429712,143490
593,2493837,145605
594,2355341,144612
595,2417561,140117
596,2498434,145016
597,2389677,147058
598,2523045,145323
599,2411479,147588
600,2498320,142409
601,2364083,135197
602,2383460,142925
603,2406764,143313
604,2389947,165305
605,2367864,144157
606,2418807,162018
607,2346722,139857
608,2338489,145294
609,2347900,140940
610,2452320,141802
611,2372992,147403
612,2395514,142321
613,2400472,143272
614,2509353,143210
615,2486692,144725
616,2386680,144182
617,2522810,150490
618,2403408,145232
619,2414704,150986
620,2407995,150550
621,2365056,146407
622,2433146,146873
623,2409033,147344
624,2390974,137998
625,2426948,153011
626,2460894,150420
627,2421483,152612
628,2417507,149938
629,2543550,155944
630,2578914,152511
631,2434244,151303
632,2450695,142244
633,2468599,180585
634,2457708,157358
635,2580538,157403
636,2480989,157287
637,2594941,154946
638,2525667,176887
639,2514172,160942
640,2367440,168268
641,2441826,231478
642,2487713,157855
643,2517409,157158
644,2447120,180018
645,2492737,158134
646,2512702,164244
647,2598693,159894
648,2558830,159981
649,2612367,160362
650,2507436,168583
651,2489668,161274
652,2576251,161589
653,2556656,167942
654,2595359,178393
655,2633510,185215
656,2563923,183327
657,2522174,200759
658,2712662,172630
659,2667963,166802
660,2696388,175032
661,2584935,170689
662,2646869,173254
663,2661723,230041
664,2664579,189827
665,2587198,169485
666,2713304,168683
667,2613890,170961
668,2643390,175681
669,2698726,176562
670,2620385,177036
671,2611520,245742
672,2624145,180199
673,2694087,160898
674,2843238,179617
675,2674904,173856
676,2709790,187253
677,2678735,174399
678,2615989,211507
679,2642630,211482
680,2674579,175930
681,2676651,199282
682,2754710,206605
683,2627359,179857
684,2653112,178858
685,2650769,178239
686,2671152,188340
687,2764753,179361
688,2664999,167810
689,2651563,183167
690,2714183,180961
691,2681022,208472
692,2779965,190780
693,2703146,256849
694,2660237,188320
695,2737614,183681
696,2669581,187269
697,2727700,186081
698,2769389,185064
699,2696504,185573
700,2804606,195263
701,2723565,186631
702,2804062,204066
703,2775951,197687
704,2827103,192401
705,2730724,208971
706,2721807,189840
707,2740761,177238
708,2794179,215786
709,2819342,191224
710,2760381,196911
711,2812262,198230
712,2812824,195006
713,2753258,193200
714,2717484,196974
715,2855450,209693
716,2720062,187943
717,2768772,186612
718,2722863,182722
719,2628488,187575
720,2822643,206407
721,2754001,199965
722,2774037,188666
723,2852664,202931
724,2842142,201579
725,2704086,203653
726,2824694,201919
727,2876545,203113
728,2839658,203802
729,2828013,258856
730,3102890,203876
731,2868630,205407
732,2852482,206148
733,3027289,208622
734,2918744,207476
735,2797402,208393
736,2838566,215553
737,2808190,227610
738,2973744,209936
739,2778075,228120
740,3044681,198539
741,2837361,211899
742,2925194,211844
743,2800828,225332
744,2880285,244565
745,2853745,200259
746,2924963,220562
747,2862425,207979
748,2886574,218499
749,2982732,224376
750,3001893,213606
751,2973210,214542
752,2981774,222635
753,2939661,218872
754,3108432,224922
755,3048408,216610
756,3057830,232580
757,2978612,225937
758,3053057,233589
759,2971390,218871
760,3085787,223798
761,2971872,227182
762,2958640,205833
763,2877903,221142
764,2914306,227005
765,2998253,208319
766,2934268,248688
767,2921012,243177
768,2956898,223985
769,3034231,272853
770,3092152,234420
771,3063255,211347
772,2862927,211288
773,2895844,234692
774,3097957,255828
775,2947524,235630
776,2996872,214646
777,3033185,214304
778,3031686,235423
779,3101761,239000
780,3087637,231361
781,3073652,248981
782,3078691,232470
783,3109824,234035
784,3033089,241504
785,3205561,234390
786,3095623,258226
787,2869385,225259
788,3007185,235798
789,3045566,237688
790,3153692,247759
791,3091629,237784
792,3158095,241379
793,3195027,281085
794,3194586,265557
795,3257522,240261
796,3091491,245835
797,3235717,251660
798,3183118,241904
799,3140873,271004
800,3191937,279452
801,3135285,257488
802,3220609,245018
803,3138364,255905
804,3149597,251935
805,3214603,239406
806,2991743,283091
807,3166275,231106
808,3185202,245115
809,3100323,255849
810,3021979,236661
811,3160274,234228
812,3193016,281194
813,3116969,314795
814,3123539,262178
815,3147046,243511
816,3149593,252758
817,3199618,259499
818,3193250,254243
819,3144787,282074
820,3315943,255481
821,3218942,282345
822,3272299,257661
823,3253788,267729
824,3229688,262062
825,3156170,298505
826,3177140,265199
827,3190611,271821
828,3200312,265725
829,3274958,314002
830,3216697,261605
831,3291203,262725
832,3334825,285401
833,3275071,264435
834,3224222,293314
835,3274683,272832
836,3104390,278629
837,3251979,248355
838,3332274,269395
839,3194074,267437
840,3144899,249933
841,3493616,275704
842,3290067,286540
843,3230504,275085
844,3353164,289418
845,3224114,274166
846,3316793,272506
847,3439324,282953
848,3358055,282967
849,3326668,276912
850,3554901,288600
851,3391921,285925
852,3444054,281465
853,3464815,283197
854,3282547,281115
855,3317067,302495
856,3230752,279725
857,3407809,283775
858,3438604,265188
859,3308445,302258
860,3423919,285188
861,3501107,288579
862,3293443,328808
863,3388200,314640
864,3351554,283735
865,3472020,287224
866,3423601,295371
867,3583347,306769
868,3683819,328296
869,3501848,273063
870,3372124,277136
871,3189799,297188
872,3283469,288913
873,3391975,295163
874,3424395,301611
875,3338435,314168
876,3527612,299993
877,3356955,273572
878,3266737,326687
879,3362126,280326
880,3415754,299999
881,3402104,283954
882,3355737,280220
883,3345920,299380
884,3450187,339382
885,3330182,350797
886,3383309,298337
887,3387453,285923
888,3301887,349090
889,3446973,280115
890,3263212,280631
891,3363171,307814
892,3371599,281836
893,3558807,325117
894,3418717,307345
895,3400196,289057
896,3479628,309274
897,3581075,310808
898,3566653,308959
899,3517866,315335
900,3578702,346076
901,3590472,316071
902,3531515,311080
903,3627294,313961
904,3781848,351858
905,3624140,311069
906,3585547,315084
907,3721795,356621
908,3651764,326070
909,3563423,315281
910,3558517,314842
911,3553076,315148
912,3568091,341789
913,3674104,333828
914,3591481,325775
915,3531827,331425
916,3600693,333268
917,3635870,350706
918,3657373,334762
919,3667442,359675
920,3565172,321633
921,3614314,334872
922,3594059,329141
923,3569458,327046
924,3545929,331386
925,3563861,345916
926,3556776,363140
927,3565493,393333
928,3699445,339607
929,3790363,341353
930,3664465,342871
931,3697048,324917
932,3669229,330447
933,3495184,312586
934,3609576,336881
935,3564072,325560
936,3490619,336491
937,3667059,347920
938,3717037,342617
939,3656136,409463
940,3736153,337005
941,3750857,339317
942,3672533,340746
943,3649919,337029
944,3465506,339454
945,3587680,343374
946,3736123,342939
947,3669124,353189
948,3628229,341493
949,3541420,342812
950,3626598,359390
951,3726252,336755
952,3788178,355735
953,3469105,345176
954,3534435,349813
955,3875093,346641
956,3732943,346963
957,3749151,353898
958,3723462,386056
959,3771155,374841
960,3856434,350295
961,3874065,354619
962,3730898,364404
963,3877701,372091
964,3826234,426009
965,3816814,353913
966,3945820,371218
967,3927669,361384
968,3818302,363207
969,3725990,357981
970,3800950,357423
971,3901425,365461
972,3691241,363262
973,3709220,365873
974,3731392,363217
975,3593179,368742
976,3889588,343347
977,3676635,362866
978,3897825,389919
979,3759830,448711
980,3798431,372118
981,3790881,373660
982,3742547,367083
983,3873345,373103
984,3800014,373856
985,3842991,391528
986,3889858,381551
987,3804774,374238
988,3819734,354088
989,3708179,384808
990,3726962,372004
991,3929390,415636
992,4048489,384600
993,3924446,374545
994,3791710,413661
995,3862290,399130
996,3815801,380749
997,3961516,383651
998,3871573,383187
999,3979826,410038
1000,3984359,403431
