n,Loop A (ns),Loop B (ns)
1,309152,28125
2,479206,680
3,779701,956
4,382247,1165
5,148537,1508
6,153559,1696
7,196273,2696
8,256419,2765
9,302729,2982
10,503002,4572
11,165092,5408
12,162075,6761
13,167905,7727
14,106954,6620
15,122173,8226
16,115332,9568
17,136182,12863
18,161360,10638
19,75173,10436
20,81634,17521
21,84382,18857
22,84785,18609
23,88202,33131
24,95084,26748
25,100665,25148
26,108970,20042
27,115008,19985
28,106612,20365
29,113776,23502
30,115462,24271
31,118072,35561
32,121741,27750
33,125764,42468
34,144887,46599
35,138545,50314
36,138838,35885
37,140708,34874
38,144468,37382
39,154028,38579
40,153503,42589
41,158924,43826
42,166791,44366
43,163958,47318
44,170252,53893
45,176977,50690
46,266226,56630
47,198177,71504
48,182456,63585
49,191821,59766
50,198799,63996
51,193778,84404
52,198736,69287
53,201393,70046
54,224829,73838
55,214168,74724
56,246731,107518
57,231910,168735
58,223117,131016
59,258711,9235
60,229549,12364
61,243145,10319
62,365611,19105
63,244663,11193
64,237978,13890
65,232244,18631
66,250555,26829
67,280484,42742
68,262275,61916
69,266162,27667
70,273421,22248
71,273777,17206
72,273415,13948
73,284294,126874
74,312448,14947
75,292395,55841
76,293465,18770
77,292419,50454
78,304454,15338
79,279956,44300
80,292806,2648
81,317833,2666
82,315732,2731
83,327291,2778
84,300659,2792
85,311578,2852
86,352988,2875
87,320169,2996
88,314838,3120
89,332734,3177
90,360521,3465
91,361598,3608
92,361032,3605
93,345192,3403
94,336185,3274
95,349629,3492
96,340169,3349
97,350429,3753
98,351685,3857
99,394023,4304
100,404968,3982
101,383447,3973
102,390301,3801
103,372550,4186
104,381361,4006
105,372035,4009
106,405659,4142
107,381800,4195
108,415111,4535
109,548929,4729
110,426199,7082
111,449763,5001
112,400707,4677
113,423538,4787
114,406263,4805
115,424221,4921
116,452263,5324
117,454279,5446
118,453218,5557
119,468721,5240
120,429008,5422
121,437794,5407
122,485036,5996
123,501831,6152
124,514371,6275
125,484544,6226
126,494203,5846
127,553851,6664
128,505583,6654
129,498832,6562
130,512885,6689
131,506805,6779
132,519125,7361
133,510176,7131
134,521741,8722
135,490815,6648
136,505698,6774
137,530588,7313
138,526850,7376
139,559431,7480
140,580577,7764
141,502566,7627
142,554225,7762
143,564352,7929
144,590157,8303
145,589640,8810
146,557334,8266
147,595108,8365
148,599149,9188
149,612957,8890
150,599715,9026
151,585086,8815
152,595281,9667
153,597024,9466
154,663573,9926
155,604741,9486
156,624885,11340
157,618563,10361
158,623664,10307
159,648013,15944
160,661032,10191
161,647084,10273
162,635502,10240
163,654361,11426
164,646467,10663
165,692173,10860
166,606963,10221
167,601744,10280
168,627844,10713
169,627813,10878
170,650609,11292
171,642923,10719
172,666340,12003
173,678900,12193
174,733783,12638
175,717464,12942
176,708796,21002
177,702905,11575
178,700996,13048
179,699038,11896
180,717145,12809
181,721504,13009
182,699347,12906
183,711905,12277
184,667924,12465
185,722121,13657
186,731851,13530
187,688743,12679
188,724058,13755
189,746626,13176
190,688412,13150
191,756015,14318
192,764055,14520
193,718786,13734
194,711719,13914
195,753993,16589
196,748914,14693
197,767122,15273
198,782627,15457
199,815865,14549
200,764502,14785
201,735930,14981
202,770309,14883
203,775565,14969
204,787657,15222
205,760174,15445
206,813138,16548
207,814586,15587
208,754873,15688
209,802744,16050
210,772520,16234
211,812242,18211
212,825008,17459
213,851058,17722
214,855829,17083
215,803380,17076
216,856734,17949
217,875160,18000
218,831977,18117
219,898063,17145
220,833173,18494
221,851369,17415
222,795305,17572
223,808808,18699
224,814755,17947
225,872745,19608
226,849934,18276
227,811692,18405
228,892960,19881
229,906863,20079
230,885145,20225
231,885731,24885
232,900497,19468
233,840076,19754
234,897051,19892
235,921757,21237
236,937715,21337
237,886662,20103
238,871738,20377
239,896360,22338
240,943506,21934
241,931013,22342
242,932315,22761
243,955576,23044
244,954280,22859
245,949884,22921
246,954576,23638
247,959984,24047
248,988629,23809
249,972855,23857
250,969719,26713
251,974169,29417
252,1007003,25332
253,1073003,26613
254,1003073,26132
255,1018557,37843
256,1006408,26148
257,986464,24524
258,946511,24638
259,1017570,26616
260,1051767,26776
261,1035221,26927
262,1035650,27245
263,1067772,25673
264,970536,26543
265,1044921,27945
266,1011359,37248
267,1013722,28434
268,1079584,28584
269,1092211,28814
270,1130911,27138
271,997423,32150
272,1067433,28890
273,1028391,27679
274,1068360,30048
275,1098640,30095
276,1038613,28245
277,1090440,28460
278,1098993,30694
279,1101208,30653
280,1091986,31138
281,1117941,31397
282,1066835,29500
283,1124165,31849
284,1075119,30036
285,1044010,30260
286,1057189,30354
287,1159143,31383
288,1110512,29609
289,1087635,34424
290,1135334,33321
291,1202592,32399
292,1154765,32512
293,1123157,32974
294,1181571,33500
295,1168527,33193
296,1137677,33719
297,1134573,160932
298,1145665,33862
299,1147377,34211
300,1149784,34294
301,1211863,34608
302,1157765,35678
303,1169194,34957
304,1229841,35486
305,1171591,35606
306,1171813,35807
307,1284438,43398
308,1204223,60711
309,1219433,36594
310,1216719,36689
311,1201634,36830
312,1162051,34724
313,1208530,37830
314,1245358,37630
315,1233028,37778
316,1221266,39586
317,1238466,38242
318,1234688,38457
319,1306841,38671
320,1191503,36420
321,1160713,36635
322,1149446,36879
323,1173781,37985
324,1218742,37369
325,1225402,40254
326,1281553,39356
327,1301548,39636
328,1295193,39526
329,1188594,39860
330,1289830,40264
331,1341760,43385
332,1287033,54509
333,1292444,50043
334,1330992,41219
335,1230107,43946
336,1239478,41734
337,1258381,44923
338,1257692,42118
339,1321203,45399
340,1344981,42851
341,1329097,45984
342,1304944,43269
343,1344127,46546
344,1320594,47038
345,1359285,47127
346,1375709,47262
347,1360663,47912
348,1390748,52168
349,1355003,43938
350,1282401,45265
351,1395321,68872
352,1341136,45840
353,1392006,45958
354,1313258,46232
355,1382855,54758
356,1424771,51081
357,1355175,47135
358,1335004,61908
359,1447483,50885
360,1413118,47843
361,1350710,49628
362,1449344,75593
363,1435781,50321
364,1412310,50522
365,1585447,53028
366,1482435,52807
367,1474975,56350
368,1495693,53809
369,1490639,53812
370,1491977,60996
371,1479259,53682
372,1503858,54893
373,1501326,54993
374,1485627,53270
375,1528015,55496
376,1466062,54084
377,1440421,54052
378,1462328,54368
379,1477534,54770
380,1482447,55341
381,1465191,59012
382,1413103,52010
383,1410820,52247
384,1368883,52334
385,1376909,52650
386,1487271,57503
387,1469396,53347
388,1517178,62138
389,1398778,56605
390,1485286,57890
391,1539946,58193
392,1577984,58801
393,1582575,64211
394,1619215,61360
395,1564047,61638
396,1557682,61950
397,1585074,62331
398,1575846,62778
399,1582965,65128
400,1654706,63350
401,1580674,71717
402,1592109,63761
403,1595721,64226
404,1553520,60956
405,1707808,65282
406,1597781,70762
407,1602591,61084
408,1594521,65653
409,1523336,67025
410,1638886,120664
411,1581246,62275
412,1650636,66392
413,1637883,67435
414,1561498,63344
415,1522594,63628
416,1541802,63822
417,1587419,68346
418,1623348,84118
419,1659246,75167
