n,Loop A (ns),Loop C (ns)
355,1467642,18705068
356,1673923,22504940
357,1536184,35568802
358,1858274,23458464
359,1552856,22931599
360,1341552,18260767
361,1345132,19126432
362,1427612,19387417
363,1437564,19047707
364,1280119,18831685
365,1301387,19306205
366,1298973,20256268
367,1397302,19927189
368,1575401,20603076
369,1344923,34450918
370,1310093,30657260
371,1469595,43869685
372,1342237,20220147
373,1307066,19991776
374,1543624,20463681
375,1333595,21305651
376,1389490,22019931
377,1432340,22738146
378,1404245,21720609
379,1352721,21620621
380,1574266,22193834
381,1308482,50536145
382,3224560,36646852
383,1569596,21973050
384,1392496,23829908
385,1444486,23660854
386,1434461,23670931
387,1582213,22728815
388,1430511,25342536
389,1397133,22729469
390,1542980,25266452
391,1457398,24105347
392,1414279,25158884
393,1425795,68081227
394,1402037,33626695
395,1509088,34199516
396,1394137,25391058
397,1636350,29134319
398,1426557,27410527
399,1472660,26010745
400,1382812,29680281
401,1530300,24862074
402,2185217,30690204
403,1547402,30624747
404,1716831,32608758
405,1725637,42583317
406,1671576,35145513
407,1621911,32777264
408,1800750,26184865
409,1412539,35204889
410,1423541,33232892
411,1571326,27348205
412,1424465,30033677
413,1525989,27932862
414,1941663,28278631
415,1468740,29928207
416,1719229,27505326
417,1862592,29414012
418,1476328,29449664
419,1500665,28741352
420,1476524,30187345
421,1509208,28585382
422,1849695,30502485
423,1543068,30669443
424,1697105,29904335
425,1517276,30923973
426,1538425,30093993
427,9134127,30535042
428,1565636,33133322
429,1608542,38482823
430,1584595,33910350
431,1631612,36946034
432,1809400,31789040
433,1606463,36140159
434,1627136,34109307
435,1630701,34519522
436,1616111,33896220
437,1641143,37899459
438,1474367,37906898
439,1517303,33509947
440,1521349,33989916
441,1601907,33968548
442,1743732,34512994
443,1779756,33339301
444,1604455,35019576
445,1528565,34724254
446,1557416,36071125
447,1719639,34551133
448,1710843,36936966
449,1618162,38579890
450,1616746,34802822
451,1646866,36344747
452,1761227,35876450
453,1573372,36696375
454,1573531,35750875
455,1643140,37266528
456,1777349,44725762
457,1582949,55533894
458,1709044,36874528
459,1606197,39683471
460,1857085,37757909
461,1653061,42373619
462,1875334,42990850
463,1794343,37662882
464,1857226,38154071
465,1729161,38288913
466,1639151,46036936
467,1617285,51806609
468,5677713,46708508
469,1812426,49322428
470,2074491,48014653
471,1807932,47308891
472,1701851,56914746
473,1853798,42943608
474,1687709,42241107
475,2151962,44303745
476,1867572,51544665
477,2095249,46081343
478,4963826,53839197
479,1832964,66361674
480,1737160,45392516
481,2004290,66342040
482,1751045,44711708
483,1928385,47924435
484,1911006,45704746
485,1681234,46899435
486,1724443,44403539
487,1680682,44626329
488,1788077,45400138
489,1790201,47445191
490,1712232,45298045
491,1789618,47212563
492,1700436,46470889
493,1767085,47410201
494,1851609,49581826
495,2003060,49377935
496,1724643,49316355
497,1727555,51787514
498,1856299,55760091
499,1719931,56715115
500,1744470,51022079
501,2242225,54785655
502,1955611,48332680
503,1831355,50977540
504,2031077,49814921
505,1923343,50235668
506,1857107,52001928
507,2107060,52409519
508,1934732,51129336
509,1918478,52400625
510,1755602,51450332
511,1777216,51382369
512,1922487,51647276
513,1781202,52292795
514,1789650,53267597
515,2032877,54203612
516,1862735,57559069
517,1794234,56091014
518,1779889,55013371
519,1870498,54513094
520,2028682,54123194
521,1927985,55811186
522,1944252,54148917
523,1900622,55138506
524,1891198,55575436
525,1761142,55489226
526,1824629,58654010
527,1861409,55972227
528,1854914,57177698
