n,Loop A (ns),Loop B (ns)
380,1519090,60961
381,1542319,58908
382,1744784,58694
383,1559532,59475
384,1664060,61022
385,1577948,60897
386,1576743,61159
387,1585537,66659
388,1666123,62207
389,1617277,62361
390,1768489,61852
391,1761614,64514
392,1628221,63213
393,1664590,65160
394,1628001,67237
395,1613860,64235
396,1724524,64692
397,1652528,64936
398,1671549,68488
399,1680562,64902
400,1669235,66640
401,1763506,101306
402,1789845,72360
403,1727623,68982
404,1691462,67100
405,1671101,67338
406,1675526,66905
407,1691598,69662
408,1716019,68597
409,1672833,68740
410,1733655,69689
411,1672155,68557
412,1678806,68784
413,1722881,68472
414,1676780,68212
415,1681633,92999
416,1708366,69384
417,1709093,86039
418,1770191,69276
419,1678204,72440
420,1678568,71037
421,1695310,90095
422,1666921,70364
423,1783097,71971
424,1713030,71059
425,1698460,71500
426,1840423,74499
427,1701362,71923
428,1868366,76067
429,1748585,76649
430,1752659,99185
431,2009070,80885
432,2558167,76859
433,1779103,76633
434,2399323,77908
435,1891405,82832
436,1799614,78406
437,1786895,78322
438,1869298,79084
439,1792520,79469
440,1928075,79858
441,1931092,78833
442,1797356,85233
443,1821565,80605
444,1831322,82569
445,1883174,81641
446,1827417,81910
447,1919946,85724
448,1940049,96852
449,1840331,81545
450,1899898,83086
451,1842084,88361
452,1867431,84074
453,1868620,83640
454,1975156,82317
455,1835667,82057
456,1834672,82214
457,2176164,83687
458,2024116,83079
459,1888830,83981
460,1867441,86173
461,1943383,98021
462,1970674,84682
463,1994154,84978
464,2228802,85395
465,1878403,85956
466,1929464,86396
467,1854223,87078
468,1904470,92396
469,1869565,86878
470,1901654,91088
471,1947843,87827
472,1952778,91317
473,1956700,93502
474,2031397,92109
475,1944100,92453
476,2222560,97408
477,2025608,93239
478,1968312,100801
479,1973391,95672
480,1987850,94521
481,1977980,93321
482,2056539,95511
483,1979552,95823
484,2010595,96791
485,1976009,96334
486,2016940,107380
487,2037688,97163
488,2034356,96711
489,2412786,107204
490,2020625,98316
491,2042134,99674
492,2040148,115691
493,2166237,115839
494,2391351,101634
495,2202248,99794
496,2044391,101369
497,2012566,104212
498,1997706,98085
499,2026630,98575
500,1997236,98822
501,2048229,101304
502,2076731,101314
503,2053891,100868
504,2045838,104145
505,2032256,100637
506,2007631,100943
507,2043175,101426
508,2028669,104963
509,2069562,102475
510,2018322,102478
511,2043997,102912
512,2050397,103453
513,2063267,127099
514,2083983,108957
515,2103757,107858
516,2130211,115582
517,2104514,110624
518,2209470,110181
519,2136164,109125
520,2130187,110586
521,2136949,111219
522,2265509,114057
523,2156958,112244
524,2153271,115242
525,2479344,118648
526,2166951,112630
527,2223937,115174
528,2189800,114285
529,2187937,114948
530,2194117,115192
531,2162754,115167
532,2200687,120477
533,2210823,120733
534,2201537,115783
535,2268832,116937
536,2183872,113370
537,2269773,114615
538,2893780,292507
539,3585254,129429
540,2406992,124508
541,2202009,132321
542,2170168,115906
543,2238893,117644
544,2299030,117593
545,2294041,180189
546,2269714,127168
547,2174515,124996
548,2247875,118707
549,2202570,118925
550,2333591,124475
551,2354712,126279
552,2246423,120515
553,2299530,125312
554,2307021,126508
555,2264817,125136
556,2311231,125905
557,2289653,141471
558,2487757,138414
559,2472125,132519
560,2516995,137827
561,2412650,135452
562,2390057,130885
563,2351134,130434
564,2314432,129505
565,2503969,291726
566,3186885,134630
567,3110518,196587
568,2738602,132294
569,2469877,134733
570,2360916,128319
571,2358185,139142
572,2442971,134358
573,2426318,140237
574,2384952,134045
575,2342782,130522
576,2302079,137889
577,2322139,131635
578,2322038,132136
579,2300049,136133
580,2356155,154808
581,2385823,133323
582,2422065,134183
583,2346082,139105
584,2377677,137599
585,2325817,135425
586,2455022,137716
587,2740317,141179
588,2520323,154951
589,2411090,141550
590,2421506,142355
591,2419521,143265
592,2415152,143774
593,2497015,144618
594,2442441,144183
595,2462113,159510
596,2844438,151214
597,2851601,211824
598,2843300,152300
599,2537592,171598
600,2491832,163570
601,2489746,149622
602,2474163,146730
603,2474716,148254
604,2467960,156081
605,2544582,153586
606,2624245,146257
607,2566459,171167
608,2531550,147171
609,2465734,146268
610,2598274,165240
611,2870894,188221
612,2693638,158873
613,2489504,148726
614,2486382,148636
615,2469712,153457
616,3027774,231511
617,3596634,364278
618,3246630,205760
619,2524020,154558
620,2504143,155140
621,2496352,152241
622,2602924,165281
623,2556670,158740
624,2599137,160532
625,2541172,159514
626,2568642,160121
627,2575572,162101
628,2773212,223735
629,2566450,163643
630,2638473,162718
631,2596692,164536
632,2582433,163009
633,2640051,163470
634,2645164,165804
635,2713284,170931
636,2698113,171787
637,2681935,166300
638,2667760,166024
639,2774803,161704
640,2559201,161774
641,2671643,246408
642,3199181,162940
643,3155015,163642
644,2583269,163947
645,2629434,164270
646,2568296,169291
647,2702947,165586
648,2617181,165928
649,2628796,168022
650,2660923,207225
651,2629450,172140
652,2763565,180854
653,2823970,174387
654,2778195,169684
655,2714872,176856
656,2768504,176405
657,2702220,176041
658,2939439,268414
659,3266065,179623
660,2841053,177994
661,2781981,186711
662,2734234,179978
663,2734603,179571
664,2740269,181154
665,2727358,179377
666,2779647,197555
667,2786391,181592
668,2855590,201671
669,2974253,212418
670,2844039,183579
671,2764529,180665
672,2763450,177891
673,2743866,178690
674,2686162,179092
675,3231742,281123
676,3194433,180758
677,2731270,180901
678,2741102,181142
679,2731113,181680
680,2745968,188190
681,2721402,186598
682,2726953,188960
683,2707064,191109
684,2710245,188456
685,2753939,184736
686,2914999,190996
687,2952734,194009
688,2814753,194039
689,2938256,200515
690,3054716,195876
691,3003121,201903
692,2837085,195211
693,2839298,195025
694,2834301,197017
695,2859731,196978
696,2874419,205423
697,2926276,196553
698,2926357,205223
699,3040506,234909
700,3042057,207716
701,2917231,200163
702,2902027,193963
703,2833739,212979
704,2819689,202041
705,2789639,195809
706,2825516,196954
707,2868585,197071
708,2823919,197608
709,2811047,198113
710,2863220,198721
711,2866582,205567
712,2836791,203982
713,2949602,201247
714,2844584,201352
715,2867829,201810
716,2919764,202457
717,2986802,212233
718,2946709,211976
719,2928124,227771
720,2935271,212095
721,3006075,211834
722,3049234,230575
723,2970654,215172
724,2983711,213879
725,2964807,238038
726,2978056,215010
727,3028998,213968
728,3010379,217719
729,3019307,218581
730,3000794,217968
731,2999536,218172
732,2991575,219289
733,2976521,211518
734,2988205,217323
735,3041987,220757
736,3138114,222076
737,2996533,214087
738,2942354,214673
739,2962983,215116
740,3006630,220338
741,2948132,217938
742,2953011,216873
743,2942229,230512
744,2944881,221989
745,3011257,218587
746,2983744,219175
747,3051275,232851
748,3157725,238814
749,3082606,258887
750,3421490,229815
751,3079588,230288
752,3103728,229414
753,3105551,237220
754,3279549,231833
755,3117697,233230
756,3100819,233021
757,3111223,232334
758,3104508,234939
759,3093894,239369
760,3131597,236657
761,3194171,251656
762,3258846,252164
763,3311114,229544
764,3070929,230344
765,3051372,230670
766,3126445,232763
767,3046972,253180
768,3097735,232227
769,3111743,240168
770,3073219,233531
771,3076894,237434
772,3095623,235980
773,3089190,235297
774,3064576,236018
775,3129537,236745
776,3227509,245674
777,3179740,245908
778,3188747,247866
779,3195600,246424
780,3192396,251045
781,3310566,254180
782,3209526,249976
783,3235221,250342
784,3242850,250717
785,3237717,251475
786,3235434,258713
787,3222028,251356
788,3252869,253103
789,3266342,254334
790,3220540,261696
791,3272789,261913
792,3228519,266554
793,3195189,304496
794,3196270,258774
795,3194567,251268
796,3195101,251480
797,3214140,251958
798,3211047,252765
799,3341617,253541
800,3221032,253871
801,3208673,260530
802,3240036,261326
803,3264012,264534
804,3240471,287552
805,3299838,268954
806,3317346,263893
807,3303914,267712
808,3324739,271253
809,3338963,267223
810,3335512,268523
811,3456586,279285
812,3589912,290852
813,3583545,303166
814,3430867,269848
815,3367920,277619
816,3416469,270617
817,3293562,263159
818,3283953,267754
819,3349371,264713
820,3254144,290138
821,3244687,270008
822,3289020,266936
823,3280136,266755
824,3349108,274712
825,3333409,272966
826,3318427,274048
827,3314770,269862
828,3342938,275201
829,3310812,270644
830,3373346,281662
831,3394118,287754
832,3398235,287641
833,3530767,283238
834,3505968,283581
835,3464747,284546
836,3410318,301752
837,3410851,300838
838,3438866,285968
839,3451705,291087
840,3454687,293381
841,3444425,288626
842,3568490,289023
843,3473423,286837
844,3463471,291179
845,3550788,292169
846,3407259,281749
847,3368995,286128
848,3377497,283406
849,3400830,288468
850,3551443,288853
851,3410655,285338
852,3414694,285902
853,3465438,295026
854,3434771,293633
855,3426916,287949
856,3484316,298609
857,3544500,299653
858,3623821,300877
859,3604170,301366
860,3625443,302921
861,3565786,309615
862,3746395,303898
863,3582870,311348
864,3582690,304833
865,3631295,339987
866,3692397,309731
867,3581250,310561
868,3529982,305585
869,3510504,297723
870,3492207,320290
871,3475898,299677
872,3498136,299380
873,3484913,303307
874,3570219,301279
875,3485535,308934
876,3508051,302168
877,3540715,302875
878,3523654,306040
879,3495751,308891
880,3732885,307515
881,3773365,317485
882,3737325,317091
883,3618474,318958
884,3622073,322998
885,3810667,332102
886,3634318,326147
887,3638653,322322
888,3654617,324260
889,3772913,321823
890,3811005,347357
891,3771781,335126
892,3750703,327211
893,3778015,337974
894,3561651,349241
895,3565168,338377
896,3571261,341831
897,3635561,368379
898,3572336,338627
899,3562973,344047
900,3648517,341132
901,3577572,340178
902,3591204,324769
903,3587276,324445
904,3588579,326294
905,3751004,334271
906,3717360,333162
907,3705320,335795
